timestamp,tx_id,active_power_mw,current_amps
2023-06-01 00:00:00+00:00,weybridge_11kv_t1,,144.04
2023-06-01 01:00:00+00:00,weybridge_11kv_t1,,136.66
2023-06-01 02:00:00+00:00,weybridge_11kv_t1,,136.96
2023-06-01 03:30:00+00:00,weybridge_11kv_t1,,142.16
2023-06-01 04:00:00+00:00,weybridge_11kv_t1,,143.9
2023-06-01 05:30:00+00:00,weybridge_11kv_t1,,170.48
2023-06-01 06:30:00+00:00,weybridge_11kv_t1,,199.79
2023-06-01 07:30:00+00:00,weybridge_11kv_t1,,223.23
2023-06-01 09:00:00+00:00,weybridge_11kv_t1,,229.43
2023-06-01 10:00:00+00:00,weybridge_11kv_t1,,226.14
2023-06-01 11:30:00+00:00,weybridge_11kv_t1,,211.87
2023-06-01 12:30:00+00:00,weybridge_11kv_t1,,209.01
2023-06-01 13:00:00+00:00,weybridge_11kv_t1,,211.3
2023-06-01 13:30:00+00:00,weybridge_11kv_t1,,213.6
2023-06-01 14:30:00+00:00,weybridge_11kv_t1,,218.2
2023-06-01 15:30:00+00:00,weybridge_11kv_t1,,217.0
2023-06-01 18:00:00+00:00,weybridge_11kv_t1,,217.43
2023-06-01 21:30:00+00:00,weybridge_11kv_t1,,175.48
2023-06-01 22:30:00+00:00,weybridge_11kv_t1,,153.39
2023-06-01 23:00:00+00:00,weybridge_11kv_t1,,149.85
2023-06-02 00:00:00+00:00,weybridge_11kv_t1,,142.79
2023-06-02 01:30:00+00:00,weybridge_11kv_t1,,133.34
2023-06-02 02:00:00+00:00,weybridge_11kv_t1,,134.82
2023-06-02 03:00:00+00:00,weybridge_11kv_t1,,138.4
2023-06-02 05:30:00+00:00,weybridge_11kv_t1,,164.91
2023-06-02 09:30:00+00:00,weybridge_11kv_t1,,214.3
2023-06-02 12:00:00+00:00,weybridge_11kv_t1,,200.23
2023-06-02 12:30:00+00:00,weybridge_11kv_t1,,199.26
2023-06-02 15:00:00+00:00,weybridge_11kv_t1,,205.81
2023-06-02 15:30:00+00:00,weybridge_11kv_t1,,214.16
2023-06-02 17:00:00+00:00,weybridge_11kv_t1,,222.94
2023-06-02 19:30:00+00:00,weybridge_11kv_t1,,203.19
2023-06-02 21:00:00+00:00,weybridge_11kv_t1,,190.62
2023-06-02 22:00:00+00:00,weybridge_11kv_t1,,168.21
2023-06-03 02:30:00+00:00,weybridge_11kv_t1,,130.2
2023-06-03 03:00:00+00:00,weybridge_11kv_t1,,134.15
2023-06-03 04:00:00+00:00,weybridge_11kv_t1,,142.05
2023-06-03 05:30:00+00:00,weybridge_11kv_t1,,153.91
2023-06-03 06:00:00+00:00,weybridge_11kv_t1,,161.66
2023-06-03 06:30:00+00:00,weybridge_11kv_t1,,174.51
2023-06-03 11:30:00+00:00,weybridge_11kv_t1,,214.47
2023-06-03 12:30:00+00:00,weybridge_11kv_t1,,188.84
2023-06-03 13:00:00+00:00,weybridge_11kv_t1,,198.05
2023-06-03 14:00:00+00:00,weybridge_11kv_t1,,196.35
2023-06-03 16:00:00+00:00,weybridge_11kv_t1,,204.22
2023-06-03 18:30:00+00:00,weybridge_11kv_t1,,204.88
2023-06-03 19:30:00+00:00,weybridge_11kv_t1,,199.08
2023-06-03 20:00:00+00:00,weybridge_11kv_t1,,196.17
2023-06-03 20:30:00+00:00,weybridge_11kv_t1,,193.27
2023-06-03 21:00:00+00:00,weybridge_11kv_t1,,188.05
2023-06-03 22:00:00+00:00,weybridge_11kv_t1,,165.51
2023-06-04 02:30:00+00:00,weybridge_11kv_t1,,134.81
2023-06-04 05:00:00+00:00,weybridge_11kv_t1,,141.32
2023-06-04 05:30:00+00:00,weybridge_11kv_t1,,142.62
2023-06-04 06:00:00+00:00,weybridge_11kv_t1,,143.94
2023-06-04 09:00:00+00:00,weybridge_11kv_t1,,192.73
2023-06-04 13:30:00+00:00,weybridge_11kv_t1,,189.67
2023-06-04 14:00:00+00:00,weybridge_11kv_t1,,193.35
2023-06-04 14:30:00+00:00,weybridge_11kv_t1,,197.02
2023-06-04 19:30:00+00:00,weybridge_11kv_t1,,202.08
2023-06-04 20:30:00+00:00,weybridge_11kv_t1,,194.98
2023-06-05 04:30:00+00:00,weybridge_11kv_t1,,141.18
2023-06-05 06:00:00+00:00,weybridge_11kv_t1,,181.27
2023-06-05 07:30:00+00:00,weybridge_11kv_t1,,218.48
2023-06-05 08:00:00+00:00,weybridge_11kv_t1,,228.32
2023-06-05 09:30:00+00:00,weybridge_11kv_t1,,231.7
2023-06-05 10:00:00+00:00,weybridge_11kv_t1,,228.22
2023-06-05 11:00:00+00:00,weybridge_11kv_t1,,234.1
2023-06-05 12:00:00+00:00,weybridge_11kv_t1,,225.69
2023-06-05 12:30:00+00:00,weybridge_11kv_t1,,225.29
2023-06-05 14:00:00+00:00,weybridge_11kv_t1,,216.61
2023-06-05 19:30:00+00:00,weybridge_11kv_t1,,204.82
2023-06-05 21:00:00+00:00,weybridge_11kv_t1,,185.89
2023-06-05 22:30:00+00:00,weybridge_11kv_t1,,150.94
2023-06-06 00:00:00+00:00,weybridge_11kv_t1,,141.01
2023-06-06 01:00:00+00:00,weybridge_11kv_t1,,134.57
2023-06-06 02:30:00+00:00,weybridge_11kv_t1,,130.36
2023-06-06 04:00:00+00:00,weybridge_11kv_t1,,137.41
2023-06-06 07:00:00+00:00,weybridge_11kv_t1,,216.17
2023-06-06 07:30:00+00:00,weybridge_11kv_t1,,224.79
2023-06-06 08:00:00+00:00,weybridge_11kv_t1,,232.11
2023-06-06 10:00:00+00:00,weybridge_11kv_t1,,245.76
2023-06-06 12:30:00+00:00,weybridge_11kv_t1,,225.46
2023-06-06 13:30:00+00:00,weybridge_11kv_t1,,208.93
2023-06-06 17:30:00+00:00,weybridge_11kv_t1,,231.28
2023-06-06 18:00:00+00:00,weybridge_11kv_t1,,227.77
2023-06-06 18:30:00+00:00,weybridge_11kv_t1,,224.27
2023-06-06 20:00:00+00:00,weybridge_11kv_t1,,213.75
2023-06-06 20:30:00+00:00,weybridge_11kv_t1,,208.13
2023-06-06 21:00:00+00:00,weybridge_11kv_t1,,194.6
2023-06-06 22:00:00+00:00,weybridge_11kv_t1,,166.05
2023-06-06 23:30:00+00:00,weybridge_11kv_t1,,142.55
2023-06-07 00:30:00+00:00,weybridge_11kv_t1,,134.58
2023-06-07 01:30:00+00:00,weybridge_11kv_t1,,127.31
2023-06-07 02:00:00+00:00,weybridge_11kv_t1,,129.85
2023-06-07 03:00:00+00:00,weybridge_11kv_t1,,137.55
2023-06-07 04:00:00+00:00,weybridge_11kv_t1,,145.24
2023-06-07 06:30:00+00:00,weybridge_11kv_t1,,209.04
2023-06-07 07:00:00+00:00,weybridge_11kv_t1,,218.46
2023-06-07 09:00:00+00:00,weybridge_11kv_t1,,229.7
2023-06-07 10:00:00+00:00,weybridge_11kv_t1,,217.05
2023-06-07 10:30:00+00:00,weybridge_11kv_t1,,217.99
2023-06-07 15:00:00+00:00,weybridge_11kv_t1,,215.11
2023-06-07 15:30:00+00:00,weybridge_11kv_t1,,223.4
2023-06-07 16:00:00+00:00,weybridge_11kv_t1,,226.43
2023-06-07 17:30:00+00:00,weybridge_11kv_t1,,229.05
2023-06-07 22:00:00+00:00,weybridge_11kv_t1,,163.61
2023-06-07 22:30:00+00:00,weybridge_11kv_t1,,153.35
2023-06-07 23:30:00+00:00,weybridge_11kv_t1,,145.51
2023-06-08 01:30:00+00:00,weybridge_11kv_t1,,135.3
2023-06-08 02:00:00+00:00,weybridge_11kv_t1,,132.75
2023-06-08 05:00:00+00:00,weybridge_11kv_t1,,157.96
2023-06-08 07:00:00+00:00,weybridge_11kv_t1,,206.6
2023-06-08 10:00:00+00:00,weybridge_11kv_t1,,216.48
2023-06-08 10:30:00+00:00,weybridge_11kv_t1,,222.59
2023-06-08 11:00:00+00:00,weybridge_11kv_t1,,219.7
2023-06-08 14:00:00+00:00,weybridge_11kv_t1,,209.36
2023-06-08 20:00:00+00:00,weybridge_11kv_t1,,198.15
2023-06-08 21:00:00+00:00,weybridge_11kv_t1,,185.01
2023-06-08 21:30:00+00:00,weybridge_11kv_t1,,176.84
2023-06-09 01:00:00+00:00,weybridge_11kv_t1,,132.47
2023-06-09 01:30:00+00:00,weybridge_11kv_t1,,130.25
2023-06-09 02:00:00+00:00,weybridge_11kv_t1,,130.99
2023-06-09 05:30:00+00:00,weybridge_11kv_t1,,171.66
2023-06-09 06:00:00+00:00,weybridge_11kv_t1,,190.61
2023-06-09 07:00:00+00:00,weybridge_11kv_t1,,208.18
2023-06-09 07:30:00+00:00,weybridge_11kv_t1,,212.48
2023-06-09 08:30:00+00:00,weybridge_11kv_t1,,221.09
2023-06-09 10:00:00+00:00,weybridge_11kv_t1,,287.77
2023-06-09 11:00:00+00:00,weybridge_11kv_t1,,300.27
2023-06-09 11:30:00+00:00,weybridge_11kv_t1,,305.37
2023-06-09 13:00:00+00:00,weybridge_11kv_t1,,216.34
2023-06-09 18:00:00+00:00,weybridge_11kv_t1,,213.44
2023-06-09 19:30:00+00:00,weybridge_11kv_t1,,206.59
2023-06-09 20:30:00+00:00,weybridge_11kv_t1,,198.23
2023-06-09 22:30:00+00:00,weybridge_11kv_t1,,163.35
2023-06-09 23:00:00+00:00,weybridge_11kv_t1,,155.66
2023-06-09 23:30:00+00:00,weybridge_11kv_t1,,152.55
2023-06-10 00:00:00+00:00,weybridge_11kv_t1,,149.99
2023-06-10 02:00:00+00:00,weybridge_11kv_t1,,139.73
2023-06-10 03:00:00+00:00,weybridge_11kv_t1,,134.61
2023-06-10 03:30:00+00:00,weybridge_11kv_t1,,132.55
2023-06-10 04:00:00+00:00,weybridge_11kv_t1,,137.74
2023-06-10 04:30:00+00:00,weybridge_11kv_t1,,145.28
2023-06-10 05:00:00+00:00,weybridge_11kv_t1,,152.82
2023-06-10 10:30:00+00:00,weybridge_11kv_t1,,216.0
2023-06-10 12:00:00+00:00,weybridge_11kv_t1,,209.91
2023-06-10 12:30:00+00:00,weybridge_11kv_t1,,212.96
2023-06-10 13:00:00+00:00,weybridge_11kv_t1,,202.33
2023-06-10 17:00:00+00:00,weybridge_11kv_t1,,236.24
2023-06-10 17:30:00+00:00,weybridge_11kv_t1,,233.55
2023-06-10 18:00:00+00:00,weybridge_11kv_t1,,227.68
2023-06-10 18:30:00+00:00,weybridge_11kv_t1,,221.81
2023-06-10 21:00:00+00:00,weybridge_11kv_t1,,192.48
2023-06-11 00:30:00+00:00,weybridge_11kv_t1,,151.1
2023-06-11 02:00:00+00:00,weybridge_11kv_t1,,147.61
2023-06-11 02:30:00+00:00,weybridge_11kv_t1,,149.93
2023-06-11 03:30:00+00:00,weybridge_11kv_t1,,154.57
2023-06-11 04:00:00+00:00,weybridge_11kv_t1,,156.89
2023-06-11 05:00:00+00:00,weybridge_11kv_t1,,161.53
2023-06-11 06:00:00+00:00,weybridge_11kv_t1,,166.17
2023-06-11 07:00:00+00:00,weybridge_11kv_t1,,176.34
2023-06-11 08:00:00+00:00,weybridge_11kv_t1,,198.9
2023-06-11 10:00:00+00:00,weybridge_11kv_t1,,213.39
2023-06-11 10:30:00+00:00,weybridge_11kv_t1,,212.22
2023-06-11 12:00:00+00:00,weybridge_11kv_t1,,211.0
2023-06-11 12:30:00+00:00,weybridge_11kv_t1,,205.66
2023-06-11 15:30:00+00:00,weybridge_11kv_t1,,238.87
2023-06-11 16:00:00+00:00,weybridge_11kv_t1,,246.09
2023-06-11 17:00:00+00:00,weybridge_11kv_t1,,253.59
2023-06-11 19:30:00+00:00,weybridge_11kv_t1,,214.28
2023-06-11 20:00:00+00:00,weybridge_11kv_t1,,207.28
2023-06-11 20:30:00+00:00,weybridge_11kv_t1,,200.29
